,Timepoint (days),Surface Water (%),Flowing Water (%),Stagnant Water (%),Sediment (%)
0,0,0.0,0.0,0.0,0.0
1,1,93.13,1.16,0.93,4.78
2,2,92.82,1.16,1.25,4.77
3,3,92.72,1.15,1.36,4.76
4,4,92.68,1.15,1.4,4.76
5,5,92.67,1.15,1.41,4.76
6,6,92.67,1.15,1.42,4.76
7,7,92.66,1.15,1.42,4.76
8,8,92.66,1.15,1.42,4.76
9,9,92.66,1.15,1.42,4.76
10,10,92.66,1.15,1.42,4.76
11,11,92.66,1.15,1.42,4.76
12,12,92.66,1.15,1.42,4.76
